0;0;0;0;x;x;
1;32;80;192;SK_0001;x;
2;48;144;16;SK_0002;x;
3;16;224;128;SK_0003;x;
4;96;32;176;SK_0004;x;
5;48;16;64;SK_0005;x;
6;240;0;224;SK_0006;x;
7;112;112;144;SK_0007;x;
8;224;112;64;SK_0008;x;
9;48;80;176;SK_0009;x;
10;208;80;176;SK_0010;x;
11;144;160;176;SK_0011;x;
12;192;208;208;SK_0012;x;
13;208;240;144;SK_0013;x;
14;176;176;32;SK_0014;x;
15;144;192;96;SK_0015;x;
16;240;176;240;SK_0016;x;
17;192;144;32;SK_0017;x;
18;16;160;0;SK_0018;x;
19;0;16;192;SK_0019;x;
20;224;160;160;SK_0020;x;
21;96;0;240;SK_0021;x;
22;160;208;112;SK_0022;x;
23;160;48;160;SK_0023;x;
24;128;144;208;SK_0024;x;
25;128;48;144;SK_0025;x;
26;0;48;0;SK_0026;x;
27;32;208;144;SK_0027;x;
28;80;32;16;SK_0028;x;
29;16;64;208;SK_0029;x;
30;208;224;128;SK_0030;x;
31;128;208;16;SK_0031;x;
32;64;96;96;SK_0032;x;
33;144;32;32;SK_0033;x;
34;0;224;224;SK_0034;x;
35;112;192;112;SK_0035;x;
36;112;208;80;SK_0036;x;
37;240;144;208;SK_0037;x;
38;224;160;224;SK_0038;x;
39;208;112;176;SK_0039;x;
40;192;128;144;SK_0040;x;
41;128;192;64;SK_0041;x;
42;144;96;224;SK_0042;x;
43;192;240;48;SK_0043;x;
44;144;48;48;SK_0044;x;
45;80;160;240;SK_0045;x;
46;32;32;0;SK_0046;x;
47;16;176;128;SK_0047;x;
48;32;32;240;SK_0048;x;
49;32;0;64;SK_0049;x;
50;176;224;144;SK_0050;x;
51;0;192;192;SK_0051;x;
52;0;144;176;SK_0052;x;
53;32;144;144;SK_0053;x;
54;48;32;144;SK_0054;x;
55;112;208;48;SK_0055;x;
56;0;160;64;SK_0056;x;
57;208;112;208;SK_0057;x;
58;176;112;0;SK_0058;x;
59;160;224;112;SK_0059;x;
60;192;112;224;SK_0060;x;
61;16;240;32;SK_0061;x;
62;128;208;48;SK_0062;x;
63;160;80;128;SK_0063;x;
64;224;160;144;SK_0064;x;
65;192;96;0;SK_0065;x;
66;112;112;64;SK_0066;x;
67;224;32;64;SK_0067;x;
68;80;144;48;SK_0068;x;
69;96;208;32;SK_0069;x;
